"Date","Price","Open","High","Low","Change %"
"Jun 05, 2016","2.9291","2.9112","2.9398","2.8802","0.91%"
"May 29, 2016","2.9028","2.9565","2.9690","2.9009","-1.85%"
"May 22, 2016","2.9575","2.9780","3.0145","2.9245","-0.63%"
"May 15, 2016","2.9762","2.9670","3.0020","2.9570","0.20%"
"May 08, 2016","2.9702","2.9271","2.9765","2.9105","1.47%"
"May 01, 2016","2.9273","2.7949","2.9770","2.7875","4.71%"
"Apr 24, 2016","2.7955","2.8444","2.8535","2.7880","-1.87%"
"Apr 17, 2016","2.8489","2.8525","2.8661","2.8050","-0.20%"
"Apr 10, 2016","2.8545","2.8486","2.8725","2.8175","0.19%"
"Apr 03, 2016","2.8491","2.8230","2.8716","2.8030","0.96%"
"Mar 27, 2016","2.8221","2.8719","2.8800","2.8120","-1.88%"
"Mar 20, 2016","2.8763","2.8621","2.8910","2.8535","0.30%"
"Mar 13, 2016","2.8676","2.8685","2.9310","2.8380","0.02%"
"Mar 06, 2016","2.8670","2.9088","2.9325","2.8636","-1.42%"
"Feb 28, 2016","2.9082","2.9981","2.9981","2.9017","-2.82%"
"Feb 21, 2016","2.9925","2.9547","3.0015","2.9185","1.39%"
"Feb 14, 2016","2.9516","2.9299","2.9840","2.9244","0.75%"
"Feb 07, 2016","2.9295","2.9202","2.9649","2.9137","0.22%"
"Jan 31, 2016","2.9232","2.9579","2.9798","2.8880","-1.09%"
"Jan 24, 2016","2.9553","3.0005","3.0356","2.9510","-1.61%"
"Jan 17, 2016","3.0038","3.0497","3.0648","3.0002","-1.46%"
"Jan 10, 2016","3.0484","3.0217","3.0549","3.0040","0.89%"
"Jan 03, 2016","3.0214","2.9185","3.0290","2.9137","3.69%"
"Dec 27, 2015","2.9139","2.9188","2.9320","2.9010","-0.31%"
"Dec 20, 2015","2.9230","2.9094","2.9525","2.9035","0.49%"
"Dec 13, 2015","2.9087","2.9758","2.9998","2.9038","-2.45%"
"Dec 06, 2015","2.9817","2.8954","2.9899","2.8777","2.99%"
"Nov 29, 2015","2.8950","2.9226","2.9380","2.8695","-1.01%"
"Nov 22, 2015","2.9245","2.8292","2.9353","2.8258","3.28%"
"Nov 15, 2015","2.8317","2.8666","2.8920","2.8148","-1.12%"
"Nov 08, 2015","2.8637","2.9135","2.9290","2.8550","-1.77%"
"Nov 01, 2015","2.9152","2.9171","2.9327","2.7567","0.00%"
"Oct 25, 2015","2.9151","2.9063","2.9435","2.8800","0.25%"
"Oct 18, 2015","2.9078","2.8954","2.9171","2.8575","0.56%"
"Oct 11, 2015","2.8917","2.9167","2.9640","2.8750","-0.69%"
"Oct 04, 2015","2.9118","2.9954","3.0039","2.8878","-2.63%"
"Sep 27, 2015","2.9906","3.0471","3.0705","2.9850","-1.84%"
"Sep 20, 2015","3.0467","3.0079","3.0754","2.9800","1.38%"
"Sep 13, 2015","3.0051","3.0354","3.0720","2.9741","-1.36%"
"Sep 06, 2015","3.0465","2.9987","3.0615","2.9850","1.30%"
"Aug 30, 2015","3.0074","2.9239","3.0141","2.9050","2.86%"
"Aug 23, 2015","2.9238","2.9200","2.9865","2.8950","0.17%"
"Aug 16, 2015","2.9187","2.8365","2.9999","2.8242","2.99%"
"Aug 09, 2015","2.8340","2.7822","2.8475","2.7590","1.94%"
"Aug 02, 2015","2.7802","2.7672","2.7940","2.7629","0.33%"
"Jul 26, 2015","2.7710","2.7409","2.7981","2.7330","1.22%"
"Jul 19, 2015","2.7377","2.6528","2.7539","2.6528","3.21%"
"Jul 12, 2015","2.6526","2.6718","2.6751","2.6250","-0.53%"
"Jul 05, 2015","2.6667","2.6917","2.7163","2.6550","-0.81%"
"Jun 28, 2015","2.6885","2.6650","2.7079","2.6650","0.89%"
"Jun 21, 2015","2.6649","2.6953","2.6976","2.6505","-1.12%"
"Jun 14, 2015","2.6951","2.7130","2.7532","2.6921","-0.65%"
"Jun 07, 2015","2.7128","2.7690","2.8097","2.6983","1.90%"
"May 31, 2015","2.6621","2.6608","2.7080","2.6530","-0.03%"
"May 24, 2015","2.6630","2.5996","2.6687","2.5923","2.46%"
"May 17, 2015","2.5991","2.5760","2.6130","2.5580","0.90%"
"May 10, 2015","2.5759","2.6890","2.7050","2.5738","-4.43%"
"May 03, 2015","2.6953","2.7143","2.7261","2.6741","-0.47%"
"Apr 26, 2015","2.7079","2.7252","2.7390","2.6430","-0.24%"
"Apr 19, 2015","2.7144","2.6880","2.7438","2.6703","1.35%"
"Apr 12, 2015","2.6782","2.6198","2.7316","2.6198","1.88%"
"Apr 05, 2015","2.6287","2.5697","2.6425","2.5545","2.21%"
"Mar 29, 2015","2.5719","2.6110","2.6237","2.5547","-1.47%"
"Mar 22, 2015","2.6102","2.5734","2.6247","2.5400","1.45%"
"Mar 15, 2015","2.5730","2.6307","2.6433","2.5607","-2.53%"
"Mar 08, 2015","2.6397","2.6279","2.6496","2.5826","0.58%"
"Mar 01, 2015","2.6244","2.5120","2.6473","2.5023","4.61%"
"Feb 22, 2015","2.5088","2.4682","2.5278","2.4487","2.29%"
"Feb 15, 2015","2.4526","2.4578","2.4692","2.4312","-0.22%"
"Feb 08, 2015","2.4581","2.4789","2.5144","2.4552","-0.64%"
"Feb 01, 2015","2.4739","2.4453","2.4829","2.3927","1.12%"
